POI_NM,CL_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,RDNMADR_NM
간절곶등대,일반관광지,울산광역시,울주군,서생면,대송리,간절곶1길
고인돌공원,천연기념물,전라남도,순천시,송광면,우산리,
삼청동길,일반관광지,서울특별시,종로구,삼청동,,
선진전위치료기,일반관광지,광주광역시,북구,문흥동,,서하로
설악산국립공원설악동탐방지원센터,관광안내소/매표소,강원특별자치도,속초시,설악동,,설악산로
통영삼도수군통제영,유명사적/유적지,경상남도,통영시,문화동,,세병로
서울영어마을,영어마을,서울특별시,강북구,수유동,,삼각산로
창원의집,일반관광지,경상남도,창원시 의창구,사림동,,사림로16번길
금성관,유명사적/유적지,전라남도,나주시,과원동,,금성관길
헤모수불가마,일반관광지,경기도,용인시 수지구,풍덕천동,,풍덕천로
설성인형마을,먹거리/패션거리,충청북도,음성군,원남면,문암리,충청대로
황기모아황토염색체험장,일반관광지,전라남도,구례군,구례읍,계산리,하유길
원숭이학교,동물원,전라북도,부안군,상서면,감교리,부안로
어린이대공원매표소,관광안내소/매표소,서울특별시,광진구,능동,,능동로
연세대학교신촌캠퍼스매표소,관광안내소/매표소,서울특별시,서대문구,신촌동,,연세로
의림파크랜드,테마공원/대형놀이공원,충청북도,제천시,모산동,,의림지로
팔각정,비/탑/문/각,전라북도,진안군,주천면,대불리,
내장산관광테마파크,테마공원/대형놀이공원,전라북도,정읍시,부전동,,내장산로
법천사지,유명사적/유적지,강원특별자치도,원주시,부론면,법천리,
앵남역(폐역),일반관광지,전라남도,화순군,화순읍,앵남리,지강로
김유정역(폐역),일반관광지,강원특별자치도,춘천시,신동면,증리,김유정로
의암역(폐역),일반관광지,강원특별자치도,춘천시,신동면,의암리,
구절리역(폐역),일반관광지,강원특별자치도,정선군,여량면,구절리,노추산로
구룡역(폐역),일반관광지,전라남도,순천시,별량면,구룡리,
진성역(폐역),일반관광지,경상남도,진주시,진성면,구천리,진성로259번길
죽동역(폐역),일반관광지,경상북도,경주시,외동읍,죽동리,죽동앞길
병영성홍교,유명사적/유적지,전라남도,강진군,병영면,성남리,홍교로
대왕교,일반관광지,울산광역시,동구,일산동,,
전망대휴게소,일반관광지,경상남도,남해군,미조면,송정리,
코오롱휴양소,일반관광지,경상북도,경주시,양남면,수렴리,지경길
문장대휴게소,일반관광지,경상북도,상주시,화북면,장암리,문장대2길
팔왕휴게소,일반관광지,경상북도,문경시,문경읍,상초리,새재로
함백산관광안내소,관광안내소/매표소,강원특별자치도,정선군,고한읍,고한리,금대봉길
연단굴,유명사적/유적지,충청북도,단양군,대강면,직티리,
횡성먹거리단지,먹거리/패션거리,강원특별자치도,횡성군,횡성읍,곡교리,
옥지기,일반관광지,강원특별자치도,횡성군,서원면,옥계리,
적벽강,일반관광지,전라북도,부안군,변산면,격포리,
신명지,유명사적/유적지,제주특별자치도,제주시,애월읍,봉성리,
인천영어마을,영어마을,인천광역시,서구,당하동,,원당대로
강원특별자치도립화목원,식물원,강원특별자치도,춘천시,사농동,,화목원길
동화사관광단지동화사매표소,관광안내소/매표소,대구광역시,동구,용수동,,동화사1길
국립가리왕산자연휴양림매표소,관광안내소/매표소,강원특별자치도,정선군,정선읍,회동리,가리왕산로
고씨동굴매표소,관광안내소/매표소,강원특별자치도,영월군,김삿갓면,진별리,영월동로
한산도이충무공유적매표소,관광안내소/매표소,경상남도,통영시,한산면,두억리,한산일주로
도리사매표소,관광안내소/매표소,경상북도,구미시,해평면,송곡리,
서마니관광농원,관광농원/허브마을,강원특별자치도,원주시,신림면,송계리,송계로
조령산자연휴양림조령산매표소,관광안내소/매표소,충청북도,괴산군,연풍면,원풍리,새재로
푸른솔관광농원,관광농원/허브마을,강원특별자치도,양구군,양구읍,석현리,소양호로
장령산자연휴양림후문매표소,관광안내소/매표소,충청북도,옥천군,군서면,금산리,장령산로
지리산국립공원천은탐방지원센터,관광안내소/매표소,전라남도,구례군,광의면,방광리,
뚝섬한강공원뚝섬안내센터,관광안내소/매표소,서울특별시,광진구,자양동,,강변북로
삼천탐방지원센터,관광안내소/매표소,서울특별시,은평구,진관동,,연서로54길
유어선매표소,관광안내소/매표소,제주특별자치도,제주시,구좌읍,종달리,해맞이해안로
동산물감귤체험농장,관광농원/허브마을,제주특별자치도,서귀포시,성산읍,수산리,서성일로
