이름,주소
영등포 라이프스타일 F HOTEL,서울 영등포구 경인로108길 8 (영등포동1가)
청주 오창 M+,충청북도 청주시 청원구 오창읍 양청송대길 9-12
강남 렉시,서울특별시 강남구 테헤란로16길 11
대전 유성 시나브로,대전광역시 유성구 온천북로59번길 9
부천(상동) MY HOTEL,경기도 부천시 길주로121번길 18-11(상동)
역삼 벤,서울 강남구 언주로87길 41 (역삼동)
서울대입구 폭스,서울 관악구 관악로 208-4 (봉천동)
양재 호텔 신트라,서울 서초구 서운로1길 6 (서초동)
신촌 림,서울특별시 서대문구 연세로4길 16 (창천동)
부천(송내) 피오르 호텔,경기도 부천시 부일로233번길 43 (상동)
대전 도마 M,대전광역시 서구 도솔5길 5
신천(잠실새내) 노블 스테이 호텔,서울특별시 송파구 올림픽로12길 4-8 (잠실동)
의정부 엘리,경기 의정부시 신흥로222번길 27 (의정부동)
포항 대잠동 에비앙 드라이브인,경상북도 포항시 남구 새천년대로450번길 19-8
양산 북부동 미노스,경상남도 양산시 북안남4길 6 (북부동)
울산 무거동 커플,울산 남구 대학로147번길 26 (무거동)
신촌 바론드호텔,서울 서대문구 연세로2나길 8 (창천동)
포항 대잠동 폰,경상북도 포항시 남구 새천년대로422번길 11-2
상봉 호텔스타,서울특별시 중랑구 망우로58길 8 (망우동)
안산 테마파크,경기도 안산시 단원구 고잔1길 49 (고잔동)
인천(연안부두) 에이스,인천광역시 중구 연안부두로21번길 12
인천(동암) 홈,인천광역시 부평구 동암광장로8번길 25
신촌 D (디),서울특별시 서대문구 연세로2길 13 (창천동)
부천 필름 37.2,경기도 부천시 부천로2번길 21 (심곡동)
파주 봉일천 지중해,경기도 파주시 조리읍 통일로 132
가산 더 스테이 호텔,서울특별시 금천구 디지털로11길 14 (가산동)
잠실 첼로,서울특별시 송파구 오금로11길 23-19
칠곡 왜관 M7 비즈니스 호텔,경상북도 칠곡군 왜관읍 중앙로1길 13
대구 황금동 프라임,대구광역시 수성구 동대구로25길 25 (황금동)
남양주 골드 호텔,경기 남양주시 별내면 청학로92번길 133
부산 대연동 비지니스 호텔 더 그랑,부산광역시 남구 유엔평화로3번길 33
전주 우아동 호텔 캐슬,전라북도 전주시 덕진구 아중4길 10-4
안산 패션,경기도 안산시 상록구 선진4길 20(사동)
계룡 Boutique 이틀 호텔,충남 계룡시 서금암2길 8-18
상봉 메이,서울 중랑구 망우로52길 28 (상봉동)
칠곡 왜관 텐,경상북도 칠곡군 왜관읍 중앙로 63-1
둔촌 발리 호텔,서울특별시 강동구 풍성로 210 (성내동)
울산 달동 미,울산광역시 남구 왕생로46번길 12 (달동)
인천(부평) 뉴캐슬,인천광역시 부평구 장제로91번길 16 (부평동)
서초 제이에스 (JS) 호텔,서울특별시 서초구 반포대로28길 97 (서초동)
포항 대잠동 윌,경상북도 포항시 남구 새천년대로450번길 4-1 (대잠동)
종로 더 디자이너스,서울특별시 종로구 수표로 89-8
대구 팔공산 그랜드 무인텔,대구 동구 갓바위로 246-5 (능성동)
진주 엠 호텔 (Hotel M),경남 진주시 비봉로 5-4 (본성동)
창동 론스타,서울 도봉구 마들로11길 37 (창동) .
잠실 까사,서울 송파구 올림픽로34길 7 (방이동)
합정 남경호텔,서울특별시 마포구 양화로1길 7 (합정동)
양평 호텔 Y,경기도 양평군 양평읍 경강로 1649-6
신천 퍼니,서울특별시 송파구 올림픽로12길 4-14 (잠실동)
천호 HOTEL H,서울특별시 강동구 구천면로24길 19 (천호동)
동해 글로리아 관광호텔,강원도 동해시 한섬로 112-4
여수 바다,전라남도 여수시 망양로 213-2 (만흥동)
춘천 호텔 공지천 2호점,강원도 춘천시 강창골길 38 (삼천동)
양양 에이트 호텔&펜션,강원도 양양군 강현면 동해대로 3403
송탄 호텔 아리아,경기도 평택시 특구로 56
수원 행궁동 르노,경기도 수원시 팔달구 정조로788번길 11-3
신림 르네상스,서울특별시 관악구 신림로64길 12 (신림동)
월곶 BY THS 샤인,경기도 시흥시 월곶중앙로58번길 32
안산 HIP,경기 안산시 상록구 용신로 360
광명 W 호텔,경기도 광명시 범안로 988 (하안동)
안산 호텔 스테이 25,경기도 안산시 상록구 이호로5길 8 (본오동)
청주 나무늘보 호텔(용암점),충청북도 청주시 상당구 월평로 184번길 123(용암동)
천안 KS HOTEL 천안역점,충남 천안시 동남구 옛시청길 13
경주 호텔 별,경상북도 경주시 원효로26번길 17
안면도 해송,충남 태안군 남면 안면대로 1722-71
아산 온천호텔 스카이,충청남도 아산시 음봉면 아산온천로157번길 13
대전 월평 하니,대전광역시 서구 월평북로 88-16
화곡 블루힐,서울 강서구 까치산로 88-5 (화곡동)
수유 4월 2일,서울 강북구 도봉로73길 25 (수유동)
역삼 A-NA HOTEL,서울 강남구 언주로87길 32 (역삼동)
구미 옥계 웰타임,경상북도 구미시 산호대로29길 7-22
춘천 HOTEL OST,강원 춘천시 서부대성로44번길 11 (요선동)
수원역(로데오) SOME,경기 수원시 팔달구 향교로3번길 35-3 (매산로1가)
원주 리츠칼튼,강원 원주시 장미공원길 85 (단계동)
길동 아르고 호텔 (Argo),서울 강동구 진황도로 93 (길동)
의정부 시실리,경기도 의정부시 호국로1336번길 57 (의정부동)
인천(동암) 고추잠자리 호텔,인천광역시 부평구 동암광장로4번길 12
신촌 렉시,서울특별시 서대문구 연세로2가길 14
창원 마산 카페,경상남도 창원시 마산합포구 월영동서로 17
평촌 쁠랑,경기 안양시 동안구 관평로182번길 30 (관양동)
인천(주안) 호텔마음,인천광역시 미추홀구 주안중로50번길 13-14(주안동)
인천(주안) 호텔 레인보우,인천광역시 미추홀구 경인로349번길 37(주안동)
서초 LAVA 교대남부터미널,서울특별시 서초구 효령로53길 40 (서초동)
고양(토당) 휴,경기도 고양시 덕양구 토당로 90-17
대전 유성 뉴큐피트,대전 유성구 장대로 16-18 (봉명동)
신천 식스티,서울 송파구 올림픽로12길 4-12 (잠실동)
김해 장유 MU,경상남도 김해시 번화2로 61-1
안산 워커스 호텔 by 아늑,경기도 안산시 상록구 성호로1길 12-4 (일동)
광주 곤지암 윌 무인텔,경기도 광주시 초월읍 산이길 8
광주 신안동 여기서자자,광주광역시 북구 경양로119번길 29
대전 용전 타임터미널 by 아늑,대전광역시 동구 동서대로1683번길 76-7
부천(심곡동) 노블레스 부천역점,경기도 부천시 부천로10번길 49
인천(주안) 더자자,인천광역시 미추홀구 석바위로101번길 2
경산 러브웨이,경상북도 경산시 향교길 66-1
포항 영일대 포스,경상북도 포항시 북구 해안로 55
화순 퀸 무인텔,전라남도 화순군 도곡면 온천1길 28-5
동탄 첼시,경기도 화성시 동탄지성로 12
김해 어방동 호텔 더엠 (HOTEL THE M),경상남도 김해시 분성로511번길 8
수원시청역 수,경기도 수원시 권선구 권광로123번길 32 (권선동)
김해 장유 폴리엠,경상남도 김해시 번화1로 73
왕십리 컬리넌,서울특별시 성동구 무학로2길 47
영등포 샵,서울특별시 영등포구 영중로8길 5 (영등포동3가)
광주 상무 큐(Q),광주광역시 서구 월드컵4강로181번길 33
전주 산정동 코자자,전북 전주시 덕진구 산정2길 18 (산정동)
밀양 인 무인텔,경상남도 밀양시 부북면 무안로 771
신촌 캠퍼스,서울 서대문구 연세로2나길 3 (창천동)
수원시청역 프라하,경기도 수원시 권선구 경수대로384번길 42-1
청량리 31page,서울특별시 동대문구 왕산로 238-1 (전농동)
청주 메리제인,충청북도 청주시 흥덕구 짐대로72번길 13
대구 원대동 에버그린,대구광역시 서구 달서로 276 (원대동3가)
대전 용전 시네마,대전광역시 동구 동서대로1725번길 18
구미 옥계 노비오스,경상북도 구미시 옥계남로 31
춘천 호텔 코지,강원도 춘천시 금강로 31
종로 시네마,서울특별시 종로구 수표로28길 12-5
안산 호텔 레이블,경기 안산시 단원구 고잔2길 42 (고잔동)
인천(간석동) 파이,인천 남동구 석촌로46번길 47 (간석동)
대전 유성 모텔나인,대전광역시 유성구 한밭대로492번길 16-26
수원 영통 月 (월),경기도 수원시 영통구 청명남로34번길 7 (영통동)
세종 스카이 무인텔,세종 전동면 소죽골길 24
대구 동성로 호텔 엠티라이프(MT LIFE),대구 중구 종로 37 (종로2가)
신촌 HIP,서울특별시 서대문구 연세로2길 82
이천 힐링 무인텔,경기도 이천시 설봉로 52
인천(부평) IMT,인천광역시 부평구 대정로82번길 19 (부평동)
광주 하남 프라다,광주광역시 광산구 무진대로211번길 13-16 (우산동)
광주 하남 블루,광주광역시 광산구 무진대로231번길 13-24
부산 송정 아이엠,부산광역시 해운대구 송정중앙로39번길 16
서초 NINETH 남부터미널,서울 서초구 반포대로14길 51 (서초동)
부천(중동) 모리호텔,경기도 부천시 부흥로307번길 46
청주 호텔 루엠 Hotel Luem,충청북도 청주시 흥덕구 경산로5번길 19 (가경동)
포항 죽도시장 타히티,경상북도 포항시 북구 중흥로101번길 8-4
신천 MW,서울 송파구 올림픽로12길 5-9 (잠실동)
포항 오천 몬타나,경상북도 포항시 남구 오천읍 정몽주로 520
춘천 VIP,강원특별자치도 춘천시 금강로13번길 21
시흥 H,경기도 시흥시 중심상가1길 9
신촌 S,서울 마포구 서강로 128 (노고산동)
구미 원평동 렉스,경상북도 구미시 금오시장로3길 13 (원평동)
부산 영도 Q,부산광역시 영도구 해양로 50
대구 경북대 로미오,대구광역시 북구 대현로 30 (대현동)
군포 리츠,경기도 군포시 봉성로5번길 8 (리츠모텔)
종로 누누,서울특별시 종로구 수표로22길 8
수유 르씨엘,서울특별시 강북구 도봉로85길 7-5
광주 신안동 러브스토리,광주광역시 북구 무등로218번길 38
군산 섬 호텔,전라북도 군산시 비응남로 38
충주 렉시,충청북도 충주시 상방7길 5
산본 MUL,경기도 군포시 산본로323번길 7 (금성프라자빌딩)
부산 학장 369,부산광역시 사상구 학감대로134번길 6 (학장동)
안양 SS(상상),경기 안양시 만안구 병목안로 12 (안양동)
화곡 테마,서울특별시 강서구 화곡로 176-16
안산 호텔 돔,경기도 안산시 단원구 고잔2길 87
부산 서면 투헤븐,부산광역시 부산진구 황령대로7번길 8 (범천동)
안양 3S 패션호텔,경기도 안양시 만안구 장내로143번길 5(안양동)
구리 C 호텔,경기도 구리시 안골로 95-2
의왕 HOTEL ON,경기도 의왕시 복지로 6
신림 페이지나인 호텔,서울 관악구 신림로66길 30 (신림동)
화곡 초콜릿,서울 강서구 강서로5가길 24 (화곡동)
익산 N파크텔,전북 익산시 배산로6길 29-1 (모현동1가)
하남 루시 호텔,경기도 하남시 하남대로776번길 14-30
인천(주안) 프로포즈,인천광역시 미추홀구 주안중로 45-1
부산 해운대 쇼,부산광역시 해운대구 구남로8번길 38
대전 유성 스파타워,대전광역시 유성구 온천로107번길 40
부천 자자,경기도 부천시 부천로29번길 22
신림 포도,서울특별시 관악구 신림로64길 16
수원역 라임 (Lime),경기 수원시 팔달구 향교로3번길 23-1
신촌 AVANI HOTEL&PLAY(호텔아바니),서울특별시 서대문구 연세로2길 50 (창천동)
울산 신정동 그랜드,울산광역시 남구 중앙로204번길 13
평택(안중) O2,경기도 평택시 안중읍 안현로서1길 12
장안 행복한눈물,서울 동대문구 장한로 97 (장안동)
안성 쇼,경기도 안성시 삼죽면 서동대로 6226-10
대구 경북대 에코(ECO),대구광역시 북구 대구체육관로 34
부산 온천장 큐브,부산광역시 동래구 차밭골로20번길 55 (온천동)
대전 유천 시애틀,대전광역시 중구 대둔산로494번길 15 (유천동)
전주 금암동 뷰티,전북 전주시 덕진구 용산3길 8 (금암동)
잠실 타임,서울특별시 송파구 올림픽로32길 4
아산 베르사체,충청남도 아산시 번영로69번길 21 (베르사체모텔)
울산 진하 짝,울산광역시 울주군 서생면 진하9길 16
성신여대역 호텔 월드스테이,서울특별시 성북구 동소문로18길 24-20 (동소문동5가)
대구 동천동 뉴오페라 (더케이),대구광역시 북구 동천로 138-6 (동천동)
신촌 아늑호텔 신촌점,서울특별시 서대문구 연세로2길 49 (창천동)
구미 원평동 펀,경상북도 구미시 송원서로4길 20
대구 성서 hotel the stay 낭만,대구광역시 달서구 호산동로 84-12
시흥 지앤미,경기도 시흥시 서촌상가4길 8-4
인천(석남동) 호텔 더 브라운,인천광역시 서구 칠천왕로 18
월곶 에비뉴 S,경기 시흥시 월곶중앙로58번길 30 (월곶동)
대전 용전 피아노,대전광역시 동구 동서대로1683번길 94-4
전주 금암동 스카이쇼1 무인텔,전라북도 전주시 덕진구 용산2길 11 (금암동)
수원(인계동) 리치호텔,경기도 수원시 팔달구 인계로166번길 48-12
인천(주안) 로지,인천광역시 미추홀구 주안중로 32
금정 호텔 초콜릿,경기도 군포시 군포로741번길 7
신촌 어반슬로우(URBANSLOW),서울특별시 마포구 서강로20길 9 (노고산동)
천안 스위트,충남 천안시 서북구 양지17길 5
양산 북부동 와,경상남도 양산시 북안남2길 6-6
부산 구서동 G&G,부산광역시 금정구 금정로 242 (구서동)
세종 자자무인텔,세종특별자치시 연동면 샘째길 16-11
춘천 LEO 호텔,강원도 춘천시 동면 춘천로 558
답십리 부티크 호텔 K,서울특별시 동대문구 천호대로 341
인천(부평) 라운지세븐,인천광역시 부평구 대정로82번길 18 (부평동)
신촌 앨리(Alley),서울특별시 서대문구 연세로2마길 20 (대현동)
수원역 25H,경기 수원시 팔달구 향교로3번길 50 (매산로1가)
전주 금암동 타임,전라북도 전주시 덕진구 용산1길 11 (금암동)
산본 스테이 온 호텔,경기도 군포시 산본로323번길 4-7
