식당이름,CTGRY_TWO_NM,주소
0731양꼬치,동아시아음식,경기도 안산시 단원구 관산길 3
08001BARCELONA,동남아시아음식,충청남도 공주시 제민천3길 78
10.5INCH,유럽음식,경기도 수원시 팔달구 행궁로 43
1000란무까타,동남아시아음식,경기도 평택시 중앙2로 17
100하노이쌀국수,동남아시아음식,서울특별시 중구 서소문로9길 28
1010아프리카유나이티드레스토랑,아프리카음식,서울특별시 용산구 이태원로 166
1011다이닝키친,유럽음식,광주광역시 남구 봉선1로36번길 1
11어클락,유럽음식,경상남도 창원시 성산구 가양로116번길 14
123포,동남아시아음식,경기도 파주시 문발로 284
126,동남아시아음식,서울특별시 광진구 광나루로39길 11
128PAN,유럽음식,서울특별시 종로구 동숭4길 14
12키친,유럽음식,대구광역시 수성구 무학로11길 10
13애비뉴,유럽음식,경기도 성남시 수정구 심곡로 13
17테이블,유럽음식,부산광역시 금정구 금정로60번길 20
1914 Lounge & Bar,유럽음식,서울특별시 강남구 테헤란로 231
1968쌀국수,동남아시아음식,대구광역시 수성구 국채보상로200길 23
1978Terrace,유럽음식,서울특별시 중구 소파로 95
1984나폴리 남산본점,유럽음식,부산광역시 금정구 금샘로 461-1
1984나폴리 동래직영점,유럽음식,부산광역시 동래구 중앙대로1381번길 56-3
1984나폴리 부산진역점,유럽음식,부산광역시 동구 고관로 90
1984나폴리 서면본점,유럽음식,부산광역시 부산진구 전포대로209번길 17-6
1984라벨라,유럽음식,부산광역시 부산진구 중앙대로680번가길 80-17
1988 오뎅바,동아시아음식,부산광역시 남구 용소로13번길 61
1인1상,유럽음식,서울특별시 은평구 연서로 534
22.FEB,유럽음식,서울특별시 강남구 선릉로119길 6
299파스타,유럽음식,전라북도 전주시 완산구 전주객사4길 23-12
2층부엌,유럽음식,경상남도 진주시 촉석로186번길 4-1
303화덕,유럽음식,부산광역시 동래구 차밭골로 37
32AMICO,유럽음식,경기도 고양시 일산서구 산현로17번길 7-10
4.2캐쥬얼다이닝,유럽음식,서울특별시 강남구 논현로20길 4-11
402키친,유럽음식,서울특별시 마포구 독막로 140
40호베트남쌀국수,동남아시아음식,경기도 평택시 통복시장2로9번길 7
420퍼스타보,동남아시아음식,서울특별시 중구 세종대로 30
428레스토랑,유럽음식,서울특별시 강남구 봉은사로 428
495도씨수완본점,유럽음식,광주광역시 광산구 장신로 85
4SEED,유럽음식,서울특별시 종로구 평창8길 3
503TABLE,유럽음식,서울특별시 서초구 서래로5길 33
505레스토랑,유럽음식,부산광역시 사하구 다대로 505
515더오리지널,유럽음식,경기도 파주시 돌곶이길 95
55다이닝,유럽음식,대구광역시 중구 동성로5길 94-19
55도 와인포차,지중해음식,대전광역시 유성구 어은로57번길 51
5테이블 운양본점,유럽음식,경기도 김포시 김포한강11로 300
5GIL7BISTRO,유럽음식,서울특별시 중구 필동로5길 7
5PAGE,유럽음식,경기도 고양시 덕양구 중앙로 450
628파스타,유럽음식,대전광역시 유성구 은구비로155번길 32-9
62QUAN,동남아시아음식,서울특별시 은평구 연서로29길 20-14
72420,동남아시아음식,서울특별시 동작구 남부순환로269길 13
72420 동탄본점,동남아시아음식,경기도 화성시 동탄대로시범길 134
72420 목동점,동남아시아음식,서울특별시 양천구 오목로50길 23
72420 미아사거리점,동남아시아음식,서울특별시 성북구 숭인로 50
72420 사당본점,동남아시아음식,서울특별시 동작구 동작대로1길 50
72420 성신여대점,동남아시아음식,서울특별시 성북구 동소문로24길 13
72420 송파직영점,동남아시아음식,서울특별시 송파구 백제고분로45길 12
72420 수원직영점,동남아시아음식,경기도 수원시 팔달구 일월로18번길 14
72TACO,남미음식,서울특별시 마포구 와우산로3길 11
730카레,동아시아음식,세종특별자치시  한누리대로 2135
79파운야드,유럽음식,충청남도 천안시 서북구 두정로 171
7PM,동남아시아음식,대구광역시 수성구 국채보상로200길 23
7STREET,남미음식,세종특별자치시  행복7길 9-14
808웨스트도어,유럽음식,울산광역시 남구 법대로87번길 3
832L레스토랑,유럽음식,강원도 정선군 함백산로 1445-44
8482,동남아시아음식,대전광역시 서구 도솔로 408
88버거,북미음식,제주특별자치도 서귀포시 동문로 63
8월의 중식 동두천점,동아시아음식,경기도 동두천시 중앙로 110-9
9292양꼬치,동아시아음식,경기도 안산시 단원구 화랑로 159
92AVENUE,유럽음식,서울특별시 광진구 아차산로 392
938,유럽음식,울산광역시 중구 젊음의거리 27-2 1층
98양꼬치,동아시아음식,서울특별시 구로구 구로동로 111
가나샤브샤브,동아시아음식,대전광역시 유성구 신성로84번길 49
가남지,동남아시아음식,대전광역시 유성구 대덕대로 588
가네끼스시,동아시아음식,서울특별시 동작구 보라매로5가길 16
가네샤,인도아시아음식,서울특별시 관악구 대학길 46
가데나,유럽음식,대전광역시 유성구 반석로 136-6
가드너아드리아,유럽음식,서울특별시 강남구 압구정로46길 73
가또부오노,유럽음식,서울특별시 서초구 강남대로 449
가르모니아,동남아시아음식,경기도 안산시 상록구 광덕1로 375
가미우동,동아시아음식,서울특별시 마포구 홍익로2길 23
가미초밥,동아시아음식,인천광역시 동구 샛골로210번길 9
가보,동아시아음식,충청남도 태안군 태안읍 군청8길 14-1
가비,북미음식,부산광역시 해운대구 좌동순환로8번길 78 상가동 5호
가스트로 통,유럽음식,서울특별시 종로구 자하문로6길 11-36
가스트로놈넘버원,동남아시아음식,경기도 안산시 상록구 한양대학로 26-1
가이아 레스토랑,유럽음식,인천광역시 중구 영종대로196번길 19
가쯔레쯔 인천시청점,동아시아음식,인천광역시 남동구 미래로 45
가향,동아시아음식,경기도 안양시 동안구 흥안대로514번길 16
간사이일식,동아시아음식,대전광역시 유성구 온천서로 8-13
간지츠,동아시아음식,부산광역시 해운대구 센텀동로 67
갈리나데이지,유럽음식,서울특별시 종로구 자하문로13길 1-4
갈릭브리즈,유럽음식,서울특별시 마포구 동교로17안길 12
갈릭앤페퍼,유럽음식,서울특별시 서초구 서초중앙로20길 40
감바레우쿠짱,동아시아음식,서울특별시 서초구 효령로31길 86
감베로니,유럽음식,서울특별시 용산구 한강대로81길 5
감성타코 가로수길점,남미음식,서울특별시 강남구 가로수길 26
감성타코 건대점,남미음식,서울특별시 광진구 능동로13길 39
감성타코 광화문점,남미음식,서울특별시 종로구 새문안로3길 23
감성타코 신사점,남미음식,서울특별시 강남구 강남대로162길 31
감성타코 판교점,남미음식,경기도 성남시 분당구 동판교로177번길 25
감성타코 합정점,남미음식,서울특별시 마포구 월드컵로3길 14
감성타코 홍대점,남미음식,서울특별시 마포구 와우산로21길 20-11
갓덴스시,동아시아음식,서울특별시 강남구 테헤란로 109
갓잇 도산공원점,남미음식,서울특별시 강남구 언주로164길 24
갓잇 안국점,동남아시아음식,서울특별시 종로구 북촌로2길 5-5
갓잇 연남점,남미음식,서울특별시 마포구 성미산로 161-13
갓잡은육회&연어 해운대점,유럽음식,부산광역시 해운대구 좌동로 88
갓파스시 대구점,동아시아음식,대구광역시 중구 동성로2길 45
갓파스시 서면점,동아시아음식,부산광역시 부산진구 중앙대로702번길 43
갓파스시 연산점,동아시아음식,부산광역시 연제구 반송로 44
갓포 강서1호점,동남아시아음식,서울특별시 강서구 강서로47나길 8
갓포신,동아시아음식,부산광역시 중구 남포길 6
갓포초밥앤참지,동아시아음식,광주광역시 광산구 풍영로 226
강가 무교점,인도아시아음식,서울특별시 중구 세종대로 136
강가 분당점,인도아시아음식,경기도 성남시 분당구 서현로 184
강가 수지점,인도아시아음식,경기도 용인시 수지구 성복2로 38
강가 여의도점,인도아시아음식,서울특별시 영등포구 국제금융로2길 7
강가 역삼점,인도아시아음식,서울특별시 강남구 논현로 508
강가 잠실점,인도아시아음식,서울특별시 송파구 올림픽로 300
강가 타임스퀘어점,인도아시아음식,서울특별시 영등포구 영중로 15
강남반점,동아시아음식,서울특별시 서초구 서초대로73길 50
개스트로펍로에뒤셀,유럽음식,경기도 성남시 분당구 성남대로 151
객터스타코,남미음식,경기도 광주시 경안로 29
갠지스,인도아시아음식,경기도 안산시 단원구 고잔2길 41
갠지스,인도아시아음식,서울특별시 관악구 대학길 46
갠지스 1동탄점,인도아시아음식,경기도 화성시 동탄공원로2길 33-11
갠지스 광교,인도아시아음식,경기도 수원시 영통구 센트럴파크로127번길 66
갠지스 동백점,인도아시아음식,경기도 용인시 기흥구 동백죽전대로 444
갠지스 보정점,인도아시아음식,경기도 용인시 기흥구 죽전로15번길 7-15
갠지스 카림애비뉴점,인도아시아음식,경기도 화성시 동탄대로시범길 134
갤러리인디고,동남아시아음식,서울특별시 강남구 강남대로152길 67
거네스,인도아시아음식,경기도 남양주시 먹갓로 6
거루캥테이블,오세아니아음식,부산광역시 해운대구 송정중앙로5번길 79
거울못레스토랑,유럽음식,서울특별시 용산구 서빙고로 137
겁쿤,동남아시아음식,경기도 오산시 오산로232번길 19
게르식당,동남아시아음식,광주광역시 광산구 사암로390번길 21
게리가,동남아시아음식,제주특별자치도 서귀포시 공천포로 51
게스트로,유럽음식,울산광역시 남구 삼산중로84번길 11-13
게이샤하우스,동아시아음식,서울특별시 용산구 이태원로 173-7
게이트21,유럽음식,서울특별시 용산구 신흥로 21
게이트나인 대구점,동남아시아음식,대구광역시 중구 달구벌대로 2077
게이트나인 동탄점,동남아시아음식,경기도 화성시 동탄역로 160
게이트나인 무역센터점,동남아시아음식,서울특별시 강남구 테헤란로 517
게이트나인 스타필드 안성점,동남아시아음식,경기도 안성시 서동대로 3930-39
게이트나인 현대백화점판교점,동남아시아음식,경기도 성남시 분당구 판교역로146번길 20
게장명가장가남도,동남아시아음식,전라남도 여수시 통제영2길 8-5
게코스,유럽음식,경기도 용인시 기흥구 보정로 115
겐로쿠,동아시아음식,서울특별시 광진구 능동로 111
겐지,동아시아음식,대전광역시 유성구 은구비로155번안길 5-17
겐짱카레 남포점,인도아시아음식,부산광역시 중구 광복로35번길 16-1
겐짱카레 본점,동아시아음식,부산광역시 중구 대청로135번길 26
겐츠베이커리,인도아시아음식,부산광역시 기장군 기장해안로 147
겟201 침산점,유럽음식,대구광역시 북구 옥산로 95
경도일식,동아시아음식,인천광역시 중구 신포로31번길 18
경북안동지역자활센터,동남아시아음식,경상북도 안동시 경동로 656
경성퀴진,유럽음식,부산광역시 동래구 온천천로 457
계룡베트남쌀국수,동남아시아음식,충청남도 계룡시 엄사중앙로 111
계명닭집,유럽음식,충청북도 충주시 탄금대로 15-2
고고인디안쿠진,인도아시아음식,서울특별시 성북구 안암로 81-4
고구려짬뽕10101 구월점,동아시아음식,인천광역시 남동구 인하로507번길 34
고다이,아시아음식,서울특별시 용산구 한남대로18길 28
고동운식당,유럽음식,부산광역시 해운대구 달맞이길117번나길 151
고렝 신세계의정부점,동남아시아음식,경기도 의정부시 평화로 525
고려인마을패밀리팰맨니,동남아시아음식,광주광역시 광산구 산정공원로 74
고릴라트럭,남미음식,충청남도 천안시 동남구 먹거리3길 21
고마트베이커리,동남아시아음식,경상북도 의성군 서부로 2744
고메303,유럽음식,경상남도 양산시 가촌로 137
고메회초밥,동아시아음식,부산광역시 동구 조방로38번길 3
고민끝에여기,남미음식,부산광역시 동구 대영로239번길 12
고베규카츠 상수점,동아시아음식,서울특별시 마포구 양화로6길 103
고베규카츠 서면점,동아시아음식,부산광역시 부산진구 중앙대로680번가길 29
고부기 대학로본점,남미음식,서울특별시 종로구 동숭길 76
고부기 평택본점,남미음식,경기도 평택시 비전5로 20-51
고불 경북대점,동남아시아음식,대구광역시 북구 대학로17길 15
고빈,동남아시아음식,인천광역시 서구 보듬로 158
고센피제리아,유럽음식,경상북도 안동시 엄달골2길 8
고수타코 여의도KBS점,남미음식,서울특별시 영등포구 의사당대로 38
고수한잎,동남아시아음식,서울특별시 마포구 성암로15길 12
고스마,유럽음식,서울특별시 종로구 경교장길 35
고씨네 가평점,동아시아음식,경기도 가평군 현창로 28-10
고씨네 다산점,동남아시아음식,경기도 남양주시 다산순환로 420
고씨네 대학로점,인도아시아음식,서울특별시 종로구 대학로12길 63
고씨네 중앙대점,인도아시아음식,서울특별시 동작구 흑석로 83-1
고씨네 한남대점,인도아시아음식,대전광역시 대덕구 한남로12번길 51
고에몬 강남점,동아시아음식,서울특별시 서초구 서초대로77길 7
고칸 용인명지대점,동아시아음식,경기도 용인시 처인구 명지로60번길 8-3
고피자 석촌호수점,유럽음식,서울특별시 송파구 석촌호수로 188
고향베트남식당,동남아시아음식,경상남도 김해시 가락로 96
고향베트남식당,동남아시아음식,충청남도 서산시 안견로 196
고향식당,동남아시아음식,강원도 속초시 청초호반로 180
고향식당베트남쌀국수,동남아시아음식,경기도 수원시 팔달구 덕영대로943번길 2
고향약속장소,동남아시아음식,경기도 오산시 오산로232번길 6
고향연가,동남아시아음식,경기도 광주시 곤지암로50번길 15-1
고향의향,동남아시아음식,경상북도 영천시 충효로 133
고향카츠 울산옥동점,동아시아음식,울산광역시 남구 대공원입구로21번길 27
고흥관,동남아시아음식,대구광역시 달서구 달구벌대로 1312-3
곡하노이,동남아시아음식,경기도 성남시 분당구 성남대로916번길 11
곤트란쉐리에 뉴서울호텔점,유럽음식,서울특별시 중구 세종대로22길 16
곤파치,동아시아음식,인천광역시 부평구 시장로29번길 7
곧버거,북미음식,서울특별시 서대문구 충정로9길 10-7
골드베트꽁,동남아시아음식,부산광역시 사하구 낙동남로 1413
골드앤씨,동남아시아음식,울산광역시 남구 장생포고래로 171-1
골드홀릭,동아시아음식,인천광역시 중구 월미문화로 71
골든고스트,동남아시아음식,서울특별시 용산구 한강대로44길 17-3
골든타이,동남아시아음식,서울특별시 송파구 위례성대로 66
골목다이닝,유럽음식,대구광역시 달서구 월곡로51길 33
골목카레,인도아시아음식,부산광역시 해운대구 재송1로31번길 49
곰레스토랑,유럽음식,경상남도 창원시 성산구 마디미로22번길 12
곰타코,남미음식,경기도 고양시 일산동구 백석로108번길 6-8
곰파곰파의뜨라또리아,유럽음식,서울특별시 도봉구 노해로 230
공간 소이헌,유럽음식,대전광역시 중구 선화로97번길 59-2
공릉동도깨비,유럽음식,서울특별시 노원구 동일로178길 14
공사이공커리,인도아시아음식,충청남도 논산시 중앙로 255
공스파스타,유럽음식,광주광역시 북구 설죽로214번길 86
공차 홍대 창전점,동아시아음식,서울특별시 마포구 서강로9길 60
공평주,유럽음식,대구광역시 중구 공평로 63
공화춘,동아시아음식,인천광역시 중구 차이나타운로 43
공화춘 현대백화점 판교점,동아시아음식,경기도 성남시 분당구 판교역로146번길 20
과르네리탭하우스,유럽음식,서울특별시 중구 을지로 281
과카몰레,남미음식,경기도 평택시 팽성읍 안정순환로222번길 92
과카몰레 2호점,남미음식,경기도 평택시 팽성대교길 99
과카몰레 더 현대 서울,남미음식,서울특별시 영등포구 여의대로 108
과카몰레 현대백화점 무역센터점,남미음식,서울특별시 강남구 테헤란로 517
광안리남매,유럽음식,부산광역시 수영구 남천동로108번길 54
광야,유럽음식,서울특별시 마포구 월드컵북로4길 82
광양정쿡,유럽음식,전라남도 광양시 순광로 466
광어공방 제주본점,동아시아음식,제주특별자치도 제주시 노형6길 20
괴르츠,유럽음식,서울특별시 마포구 토정로 136-13
괴짜쉐프파스타,유럽음식,서울특별시 송파구 법원로4길 10
괴흐엉관,동남아시아음식,경기도 파주시 금정24길 16-9
교동짬뽕,동아시아음식,경기도 고양시 일산동구 호수로 646-30
구구구중국양꼬치구이,동아시아음식,울산광역시 남구 왕생로46번길 9
구룡중화요리,동아시아음식,울산광역시 남구 달삼로84번길 10
구르만김해,동남아시아음식,경상남도 김해시 호계로499번길 8-6
구르메,동아시아음식,부산광역시 남구 용소로13번길 61
구르메식당,유럽음식,부산광역시 금정구 금정로60번길 23-8
구르카,인도아시아음식,서울특별시 마포구 와우산로21길 20-6
구르카인도레스토랑,인도아시아음식,서울특별시 중구 명동10길 16-1
구름속의 산책,유럽음식,부산광역시 서구 송도해변로 131
구름식당,인도아시아음식,대전광역시 동구 계족로 184-29
구름의집,유럽음식,서울특별시 강북구 4.19로 135
구름파스타,유럽음식,서울특별시 성북구 보국문로20길 18
구봉구파스타,유럽음식,대구광역시 중구 큰장로26길 45
구세뻬,유럽음식,경기도 성남시 분당구 판교로33번길 21
구스아일랜드 브루하우스,북미음식,서울특별시 강남구 역삼로 118
구스토타코,남미음식,서울특별시 마포구 와우산로 41
구씨네부엌,유럽음식,서울특별시 서대문구 신촌로 9
구좌지앵,유럽음식,제주특별자치도 제주시 구좌읍 종달로1길 102
구포파스타,유럽음식,서울특별시 송파구 올림픽로32길 22
국빈장,동아시아음식,경기도 용인시 처인구 금령로13번길 5
국수진,동남아시아음식,경기도 용인시 수지구 수지로 217
군스포,동남아시아음식,경기도 광명시 오리로 928
굿갓레스토랑,유럽음식,경기도 의정부시 시민로122번길 9-4
굿모닝 베트남,동남아시아음식,경기도 파주시 혜음로 1145
굿모닝베트남 인천논현점,동남아시아음식,인천광역시 남동구 논고개로123번길 17
굿모닝베트남 한남점,동남아시아음식,서울특별시 용산구 독서당로 73
굿바이슈가베어,북미음식,서울특별시 서대문구 이화여대길 72-6
굿손 신용산점,동남아시아음식,서울특별시 용산구 한강대로48길 17-4
